,Especificação,Classe,Tipo
010203,Substâncias adesivas para papel de parede,1,p
010071,Substâncias antidetonantes para motores de combustão interna,1,p
010480,Substâncias para conservar sementes,1,p
010509,Substâncias para curtir,1,p
010238,Substâncias para despolir,1,p
010301,Substâncias para endurecer calcário,1,p
010105,Substâncias para impedir o desfiar de meias,1,p
010523,Substâncias químicas antiembaciantes para janelas,1,p
010176,Substâncias químicas industriais,1,p
010679,Substâncias químicas para a fabricação de pigmentos,1,p
010116,Substâncias químicas para aeração de concreto,1,p
010031,"Substâncias químicas para agricultura, exceto fungicidas, herbicidas, inseticidas e parasiticidas",1,p
010570,Substâncias químicas para avivar cores para uso industrial,1,p
010091,Substâncias químicas para avivar têxteis,1,p
010128,Substâncias químicas para branquear ceras,1,p
010339,Substâncias químicas para branquear gorduras,1,p
010353,Substâncias químicas para branquear óleo,1,p
010044,Substâncias químicas para conservação de alimentos,1,p
010648,Substâncias químicas para esvaziar radiadores,1,p
010138,Substâncias químicas para evitar condensação,1,p
010286,Substâncias químicas para evitar manchas em tecidos,1,p
010575,Substâncias químicas para fabricação de tintas,1,p
010386,Substâncias químicas para foscar vidros,1,p
010347,"Substâncias químicas para horticultura, exceto fungicidas, herbicidas, inseticidas e parasiticidas",1,p
010364,Substâncias químicas para impermeabilização de couro,1,p
010362,Substâncias químicas para impermeabilização de têxteis,1,p
010224,Substâncias químicas para impregnação de couro,1,p
010363,Substâncias químicas para impregnação de têxteis,1,p
010174,Substâncias químicas para limpeza de chaminés,1,p
010608,Substâncias químicas para purificação de água,1,p
010354,Substâncias químicas para purificação de óleo,1,p
010175,Substâncias químicas para renovar couro,1,p
010223,Substâncias químicas para revestimento do couro,1,p
010233,Substâncias químicas para separação de óleo,1,p
010487,Substâncias químicas para solda,1,p
010265,Substâncias químicas para tingir os esmaltes,1,p
010521,Substâncias químicas para tingir vidro,1,p
010505,"Substâncias químicas para uso na silvicultura, exceto fungicidas, herbicidas, inseticidas e parasiticidas",1,p
010617,"Substâncias químicas, exceto tintas, à prova de umidade para alvenaria",1,p
010589,Substratos para cultivo fora do solo [agricultura],1,p
010574,Sulfato de bário,1,p
010225,Vitríolo azul,1,p
010555,Sulfatos,1,p
010076,Sulfeto de antimônio,1,p
010486,Sulfetos,1,p
010113,Sulfimida benzóica,1,p
010504,Sumagre para curtume,1,p
010431,Superfosfatos [fertilizantes],1,p
010506,Talco [silicato de magnésio],1,p
010532,Tálio,1,p
010508,Tanino,1,p
010514,"Tártaro, exceto para uso farmacêutico",1,p
010516,Tecnécio,1,p
010434,Tela para impressão heliográfica,1,p
010212,Tela sensível para fotografia,1,p
010517,Telúrio,1,p
010519,Térbio,1,p
010525,Terra de pisoeiro para uso na indústria têxtil,1,p
010632,Terra diatomácea,1,p
010524,Terra para cultivo,1,p
010681,Terra preparada para plantio em vasos,1,p
010705,Terra vegetal,1,p
010526,Terras raras [lantanídeos],1,p
010529,Tetracloretos,1,p
010013,Tetracloreto de acetileno,1,p
010528,Tetracloreto de carbono,1,p
010704,Timol para fins industriais,1,p
010533,Tiocarbanilida,1,p
010537,Titanita,1,p
010538,Toluol,1,p
010535,Tório,1,p
010371,Trípole,1,p
010534,Túlio,1,p
010539,Turfa [fertilizante],1,p
010445,Vasos feitos de turfa para horticultura,1,p
010542,Urânio,1,p
010544,Vidro solúvel [silicato],1,p
010334,Visco,1,p
010157,Viscose [solução celulósica],1,p
010692,Vitaminas para a indústria alimentícia,1,p
010702,Vitaminas para uso na fabricação de cosméticos,1,p
010701,Vitaminas para uso na fabricação de produtos farmacêuticos,1,p
010691,Vitaminas para uso na fabricação de suplementos alimentares,1,p
010550,Viterite,1,p
010551,Xenônio,1,p
010712,Xileno [xilênio],1,p
010711,Xilol,1,p
010556,Zircônia [dióxido de zircônio],1,p
020134,Acabamento vitrificador para pisos de madeira,2,p
020099,Açafrão [corante],2,p
020087,Aglutinantes para tintas,2,p
020124,Terebintina [diluente para tintas],2,p
020006,Alizarina [corante],2,p
020038,Alvaiade [branco de chumbo],2,p
020098,Urucum [corante],2,p
020052,Anilina [corante],2,p
020018,Auramina,2,p
020022,Bálsamo do Canadá,2,p
020017,Verniz de asfalto,2,p
020110,Cal branca,2,p
020034,Caramelo [corante alimentar],2,p
020113,Carbolineum [óleo de antraceno] para conservação de madeira,2,p
020045,Carmim de cochonilha,2,p
020133,"Cartuchos de tinta, abastecidos, para impressoras e fotocopiadoras",2,p
020129,"Cartuchos de tintas comestíveis, abastecidos, para impressoras",2,p
