,Especificação,Classe,Tipo
auxserv_6_1_21_170,"Assessoria, consultoria e informação em massagem",44,s
auxserv_6_1_21_171,"Assessoria, consultoria e informação em mercado de ações",36,s
auxserv_6_1_21_172,"Assessoria, consultoria e informação em negócios relacionados à estratégia, marketing, produção, pessoal e assuntos 
relativos ao comércio varejista",35,s
auxserv_6_1_21_173,"Assessoria, consultoria e informação em negócios relativos à relocalização para empresas",35,s
auxserv_6_1_21_174,"Assessoria, consultoria e informação em nutrição",44,s
auxserv_6_1_21_175,"Assessoria, consultoria e informação em patentes e em propriedade industrial",45,s
auxserv_6_1_21_176,"Assessoria, consultoria e informação em pintura de prédios",37,s
auxserv_6_1_21_177,"Assessoria, consultoria e informação em planejamento financeiro",36,s
auxserv_6_1_21_178,"Assessoria, consultoria e informação em produção de energia",40,s
auxserv_6_1_21_179,"Assessoria, consultoria e informação em promoção de vendas",35,s
auxserv_6_1_21_180,"Assessoria, consultoria e informação em propriedade intelectual [serviços jurídicos]",45,s
auxserv_6_1_21_181,"Assessoria, consultoria e informação em publicidade e propaganda através de qualquer meio",35,s
auxserv_6_1_21_182,"Assessoria, consultoria e informação em reparo e manutenção de utensílios domésticos",37,s
auxserv_6_1_21_183,"Assessoria, consultoria e informação em reparo e manutenção de veículos",37,s
auxserv_6_1_21_184,"Assessoria, consultoria e informação em reparos no setor de aviação",37,s
auxserv_6_1_21_185,"Assessoria, consultoria e informação em restauração de móveis",37,s
auxserv_6_1_21_186,"Assessoria, consultoria e informação em seguros",36,s
auxserv_6_1_21_187,"Assessoria, consultoria e informação em serviços de entrega",39,s
auxserv_6_1_21_188,"Assessoria, consultoria e informação em serviços de recursos humanos para empresas",35,s
auxserv_6_1_21_189,"Assessoria, consultoria e informação em serviços de revestimentos",37,s
auxserv_6_1_21_190,"Assessoria, consultoria e informação em serviços de tráfego",39,s
auxserv_6_1_21_191,"Assessoria, consultoria e informação em supervisão de construção",37,s
auxserv_6_1_21_192,"Assessoria, consultoria e informação em telecomunicações",38,s
auxserv_6_1_21_193,"Assessoria, consultoria e informação em transportes",39,s
auxserv_6_1_21_194,"Assessoria, consultoria e informação em tratamento de materiais",40,s
