,Especificação,Classe,Tipo
auxprod6_1_21_379,Armadilha para caça e pesca,28,p
auxprod6_1_21_380,Armário bar,20,p
auxprod6_1_21_381,Arminho [pele],18,p
auxprod6_1_21_382,Arnica [erva para enchimento],22,p
auxprod6_1_21_383,Aro de borracha para vedação,17,p
auxprod6_1_21_384,Arquibancada,19,p
auxprod6_1_21_385,Arquivo de mesa para microfilme,16,p
auxprod6_1_21_386,Arranca-ponta [ferramenta],8,p
auxprod6_1_21_387,Arrancador de fruto [ferramenta],8,p
auxprod6_1_21_388,Arranjo de flor artificial,26,p
auxprod6_1_21_389,Arranjo de flor natural,31,p
auxprod6_1_21_390,Arrastão para pesca,22,p
auxprod6_1_21_391,Articulação metálica para janela [ferragem],6,p
auxprod6_1_21_392,"Artigo antitártaro para uso animal, exceto medicamento",3,p
auxprod6_1_21_393,Artigo para iluminação não elétrico,4,p
auxprod6_1_21_394,Artigo para instalação hidráulica,19,p
auxprod6_1_21_395,Árvores de natal eletrônicas e decorativas,28,p
auxprod6_1_21_396,Asbesto [vedação],17,p
auxprod6_1_21_397,Asbesto em bruto,17,p
auxprod6_1_21_398,Aspargo [produto fresco],31,p
auxprod6_1_21_399,"Aspirador de pó elétrico, portátil ou não",7,p
auxprod6_1_21_400,Aspirador e limpador de roupa portátil movido à pilha,21,p
auxprod6_1_21_401,Aspirador industrial,7,p
auxprod6_1_21_402,Assador comercial e industrial,11,p
auxprod6_1_21_403,Assento de avião com função de massagear,12,p
auxprod6_1_21_404,Assento para enfermo,10,p
auxprod6_1_21_405,Atiradeira [estilingue],28,p
auxprod6_1_21_406,Ativador hormonal,5,p
auxprod6_1_21_407,Atrativo de peste [pesticida],5,p
auxprod6_1_21_408,Auscultador [estetoscópio],10,p
auxprod6_1_21_409,Automático de nível [sinalização],9,p
auxprod6_1_21_410,Ave em conserva,29,p
auxprod6_1_21_411,Aveia em grão,31,p
auxprod6_1_21_412,Aveia integral em pó,30,p
auxprod6_1_21_413,"Aventais de uso médico, descartáveis ou não",10,p
auxprod6_1_21_414,Avental para cirurgiões,10,p
auxprod6_1_21_415,Avental para pacientes,10,p
auxprod6_1_21_416,Avental para profissionais de saúde,10,p
auxprod6_1_21_417,Avental plúmbico para exames radiológicos,10,p
auxprod6_1_21_418,Avião de brinquedo,28,p
auxprod6_1_21_419,Azeite de dendê,29,p
auxprod6_1_21_420,Azoto [nitrogênio],1,p
auxprod6_1_21_421,Azul da Prússia [tinta],2,p
auxprod6_1_21_422,Azul ultramar [tinta],2,p
auxprod6_1_21_423,Azulejo de aço inoxidável,6,p
auxprod6_1_21_424,Babador não descartável,25,p
auxprod6_1_21_425,Baby-doll,25,p
auxprod6_1_21_426,Bacalhau,29,p
auxprod6_1_21_427,Bactéria acetificadora,1,p
auxprod6_1_21_428,Bactéria para saneamento básico e eliminação de poluição d'água,1,p
auxprod6_1_21_429,Bactericida,5,p
auxprod6_1_21_430,"Bacuri [fruto grande e carnoso; bacurizeiro, ibacurupari -produto in natura]",31,p
auxprod6_1_21_431,Bafômetro,9,p
auxprod6_1_21_432,Bala comestível,30,p
auxprod6_1_21_433,Balaio,20,p
auxprod6_1_21_434,Balanço russo,28,p
auxprod6_1_21_435,"Balangandã [ornamento ou amuleto, ordinariamente de metal, em forma de figa, 
medalha, pendente de broche, argola ou pulseira]",14,p
auxprod6_1_21_436,Balão [objeto para festa],28,p
auxprod6_1_21_437,Balcão [móvel],20,p
auxprod6_1_21_438,Balcão [varanda ou sacada],19,p
auxprod6_1_21_439,Balcão frigorífico de uso doméstico,11,p
auxprod6_1_21_440,Balcão frigorífico de uso industrial,11,p
auxprod6_1_21_441,Balde para bebida,21,p
auxprod6_1_21_442,Baliza para esporte,28,p
auxprod6_1_21_443,Bálsamo e óleo descongestionante nasal e bronquial para uso externo,5,p
auxprod6_1_21_444,Bálsamo e óleo para alívio da dor e coceira para uso externo,5,p
auxprod6_1_21_445,Banana processada,29,p
auxprod6_1_21_446,Bananada,29,p
auxprod6_1_21_447,Banca de jornal metálica,6,p
